title,abstract,author,year,program,institution,firstname_lastname,institution_fullname
A mixed methods study on barriers and facilitators to exercise for suicidal ideation management.,"Suicide is a leading cause of premature death. Innovative and effective interventions are needed to prevent suicide deaths. Randomized controlled trials (RCTs) have demonstrated that a variety of structured exercise programs (e.g., aerobic exercise, resistance training exercise) improve mental health, including reducing anxiety and depressive symptoms. Moreover, failure to meet established guidelines for physical activity is associated with increased odds of experiencing suicidal behaviours. Exercise may, therefore, be one intervention option to reduce the suicidal behaviours (i.e., suicidal ideation [SI] and plans for suicide) that often precede suicide. In order to benefit from the effects of exercise, individuals with suicidal ideation must perceive exercise as an accessible, acceptable, and effective treatment option, otherwise they are unlikely to initiate and sustain an exercise program. This mixed-methods dissertation includes two studies that explored how individuals with SI perceive and experience exercise, with an emphasis on identifying facilitators and barriers to exercise. In Study 1, grounded theory methods were used to analyze data from semi-structured interviews with 17 adult Canadian participants with past-month SI. The overall theory derived from Study 1 suggests that exercise for individuals with SI is complex and should be tailored to each individual. This theory is made up of a core category of individualization, as well as four key concepts that relate to three major categories. The four key concepts of the theory are that facilitators and barriers to exercise (a) have individualized weights/impacts on exercise decisions, (b) are cumulative, interactive, and opposing forces, (c) are dynamic, and (d) exist on a spectrum from internal to external. The three major categories included in the study theory are (a) the cognitive-behavioural cycle, (b) priorities, values, and identity, and (c) interpersonal factors. In Study 2, 261 Canadian adult participants with past-month SI completed an online survey. The survey included measures of suicidal behaviour, facilitators and barriers to exercise (open-ended and closed-ended questions), past-week physical activity, and demographic and health questions. Due to the exploratory nature of the study, quantitative analyses were restricted to descriptive statistics. The qualitative and quantitative results of Study 2 supported and added to the theory developed in Study 1, including offering additional evidence of the core category, the four key concepts, and the three major categories. Most participants thought exercise can reduce SI. Improved health, both mental and physical, was a commonly reported motivator to exercise, and poor mental health was also a commonly reported barrier to exercise. Overall, the results of both studies demonstrated the importance of individualization when it comes to exercise for individuals with SI. Exercise may or may not be an accessible, acceptable, and/or effective intervention for any given individual with SI. The results may be used by clinicians, researchers, policy makers, and advocacy groups considering whether exercise might be an intervention option for individuals with SI. The results may assist future researchers who endeavor to develop exercise-based interventions for individuals with SI by providing a theoretical framework to guide intervention development and study planning (e.g., by highlighting the need to anticipate and address individual and fluctuating facilitators and barriers). Keywords: suicidal ideation, exercise, physical activity, facilitators and barriers to exercise, exercise adherence, grounded theory.","Vig, Kelsey Danielle.",2024,PhD,Regina,Kelsey Vig,University of Regina
A security risk assessment framework for IoT systems.,"The emergence and growth of the Internet of Things (IoT) have changed how we live and interact with technology. The seamless integration of connected devices, from household to industrial equipment, has brought about a new era of interconnectedness. However, this rapid expansion of the IoT also introduces new security concerns that need to be assessed. Assessing the security risks associated with deploying and using this technology is crucial. Consequently, organizations need a risk assessment framework that helps identify, evaluate, and manage the risks of IoT, including data privacy and confidentiality, system integrity, availability, and performance. The stateof- the-art has been given significant attention to security risk assessment in traditional cybersecurity with powerful computer systems, but the challenges of deploying IoT devices and their associated vulnerabilities have been overlooked. In this thesis, we first present a novel IoT security risk assessment framework for the healthcare environment, in which we have improved upon existing methodologies. The proposed framework dynamically calculates the risk score for different device profiles, considering their population and other parameters, such as network protocols, device heterogeneity, device security updates, device physical security status, device history status, layer history status, and device criticality. Second, we present a customizable framework for assessing the security risk of deploying and utilizing IoT devices in various environments. We dynamically calculate risk scores for different devices, considering their importance to the system and their vulnerabilities, among other parameters. The customizable framework considers the important parameters of the devices, their vulnerabilities, and how they impact the overall risk assessment. The importance of these devices and the severity of vulnerabilities are incorporated in the framework using the well-known Multi-Attribute Decision Making (MADM) methods, namely, Simple Additive Weighting (SAW) and Weighting Product (WP). Finally, the risk is assessed on a setup comprised of IoT devices widely deployed in healthcare systems, such as emergency rooms.","Waqdan, Mofareh Abdullah S.",2024,PhD,Regina,Mofareh Waqdan,University of Regina
Analysis of dissolved organic matter character and dynamics using optical techniques in prairie wetland ponds.,"Carbon plays an important role in a variety of Earth's biogeochemical processes, through its various reservoirs and the interconnections between them. The hydrosphere is an important reservoir for carbon, and inland waters have often been regarded as unimportant in carbon biogeochemical cycling. However, important transformations and transport mechanisms occur within inland waters. Wetlands are an example of this, where carbon is in flux with the atmosphere and hydrosphere. Dissolved organic carbon (DOC), the carbon fraction and majority of dissolved organic matter (DOM), is found in the earth's aquatic environments, is an important connection in the carbon cycle between terrestrial and aquatic systems and plays a variety of biogeochemical roles. Within aquatic environments, DOM plays an intermediary role in trace metal cycling such as that of toxic mercury. DOM is highly heterogenous and can be characterized according to its structure, origin, and molecular weight. Optical techniques have emerged as a powerful tool to analyze DOM according to its origin and chemical character, and in several techniques such as derived fluorescence indices and parallel factor analysis (PARAFAC) models based on emission-excitation matrices have become common. Within Saskatchewan, Canada and located in the prairie pothole region (PPR), the St Denis National Wildlife Area is home to a series of wetlands where a more toxic form of mercury, called methylmercury (MeHg) is found in highly differing amounts within close proximity. DOM is known to influence MeHg concentrations and the process of mercury methylation. This thesis hypothesized that the differing characteristics of DOM may explain differences in high methylmercury concentrations. Through the use of optical techniques, including derived fluorescence indices and PARAFAC modelling, this thesis establishes that high MeHg concentration wetland ponds in SDNWA have more humic and terrestrially derived DOM, and low MeHg concentration wetland ponds have more aromatic DOM. This suggests that the highly aromatic DOM, combined with the high sulfur conditions of the SDNWA enable a greater amount of photodemethylation of MeHg in low MeHg concentration wetland ponds. Keywords: Dissolved organic matter, Methylmercury, Emission-excitation matrix, Parallel factor analysis, Prairie Pothole Region.","Khan, Faraz.",2024,MSc,Regina,Faraz Khan,University of Regina
Assessing factors contributing to the changes in historical temperature extremes and investigating future changes in extreme events.,"Temperature extremes are among the most studied features in the climate research community using both the observed datasets and the simulated outputs from climate models. Such extremes often lead to irreversible societal, ecological, and economic consequences across the globe. Moreover, projected results from climate models have also indicated that changes in future temperature-related extremes will become more frequent and intense with global warming. Therefore, comprehensive knowledge of long-term changes in the observed temperature extremes cannot only help to detect, attribute, and project climate change but can also enhance the development of effective mitigation and adaptation strategies (at regional or site-specific scales) towards the management of catastrophe caused by the extremes. In this dissertation, the observed spatial and temporal variations in temperature extremes are first analyzed at a hemispheric scale based on the newly developed HadEX3 dataset; the impact of large-scale atmospheric circulation patterns on dynamic changes in temperature extremes has also been examined. Then, future changes in extreme temperature variables at a much smaller scale (e.g., local scale) are investigated through a stepwise clustered downscaling method. Based on the downscaled results, future changes in the properties of moderate and severe heatwave conditions are further analyzed. Comparisons of the projected temperature variables and future heatwaves among different climate models provide valuable information on the ability of the models in simulating the long-term variations of temperature extremes. This research can be used to provide a scientific basis and valuable information to prepare for future changes in extreme heat conditions and mitigate the negative impacts of temperature-related extremes on society and the environment.","Zhai, Yuanyuan.",2022,PhD,Regina,Yuanyuan Zhai,University of Regina
Bayesian probabilistic projections of future climate over Canada based on the RCM ensemble.,"In this research, a series of approaches are proposed to address the challenges in generating robust probabilistic projections of climatic variables (e.g., temperature, precipitation, and Intensity-Duration-Frequency curves) and analyzing the associated uncertainties based on the Regional Climate Model (RCM) ensemble. The proposed approaches have been applied to Canada for demonstrating their effectiveness. Specifically, a new discriminant-Bayesian Model Averaging (BMA) ensemble climate modeling (DBEC) approach is developed to help address the neglected spatiotemporal variations of model biases. Through the proposed method, the BMA weights are used as prior distributions to drive the Bayesian discriminant analysis in order to generate refined weights for individual ensemble models according to their spatiallyand temporally-clustered performance. The results suggest that the DBEC approach can improve both the accuracy and reliability of ensemble projections to some extent, especially in winter and Arctic regions. The probabilistic projections of temperature for three future periods under two emission scenarios are then obtained through the proposed DBEC model. The results indicate that comparatively larger temperature increases can be observed in Arctic regions. In addition, the magnitude of uncertainties is found to be negatively correlated to the elevation. Then a new multi-dimensional discriminant-BMA ensemble approach (MDBE) is developed to quantitively characterize the relationships between the modeling performances and climatic conditions. Through the comparative assessments of the proposed approach against three other ensemble methods, its effectiveness in generating the probabilistic projections of annual and seasonal precipitation over Canada has been illustrated. In detail, the R2 and percentage coverage will increase up to 0.15 (from 0.52 to 0.67) and 20% (from 60% ~ 80%), respectively. The generated projections suggest that significant precipitation increases are observed in future periods, especially in the Arctic regions. The warming climate could be the primary reason for such increases. Moreover, the intensified atmospheric radiative cooling is also a possible explanation for the winter precipitation increase. Finally, a new CDF-distance-based method is proposed to generate ensemble projections of IDF curves over Canada. Compared with the traditional ensemble methods, the proposed CDF-distance-based ensemble approach depends less on the simulated accuracy of annual maximum precipitation time series. Consequently, it can improve both the accuracy and reliability of the probabilistic projections in IDF curves. The proposed method has been applied to Canada for assessing the future changes of the IDF curves. The results suggest that the upward shifts of the IDF curves under all return periods are observed under changing climate conditions. Moreover, the percentage changes of precipitation intensities increase with return periods.","Song, Tangnyu.",2024,PhD,Regina,Tangnyu Song,University of Regina
Beam asymmetry in the reaction channel γp→ηΔ + at Glue X,"Photoproduction mechanisms studied in the GlueX experiment allows the mapping of light mesons in unprecedented detail with particular interest in exotic meson candidates. This is achieved by impinging an 8.2-8.8 GeV linearly polarized photon beam on a liquid hydrogen target. The measurement of beam asymmetry Σ will help constrain quasi-particle t-channel exchange processes using Regge theory. Understanding the photoproduction exchange mechanisms is a crucial ingredient in establishing hybrid and exotic photoproduced light meson states. Σ is extracted from the azimuthal angular distribution between the meson production plane and the polarized photon beam. In particular, we will report results on the beam asymmetry measurements for η in the reaction p →η Δ+. This reaction with a recoiling Δ+ will allow for comparison and validation of theoretical calculations and provide additional validation of the η asymmetry with a recoiling proton. The different isospin of the Δ+ imposes additional restrictions that further constrain allowed Regge exchanges. The results were similar to η-proton i.e Σ ≈ 1 but showed a deviation from theoretical models of the η - Δ+ especially towards higher t values. This may help guide modifications to these models for production and exchange processes involving η meson.","Neelamana, Varun.",2024,PhD,Regina,Varun Neelamana,University of Regina
Beta-delayed proton emission of magnesium-20 and the RCMP silicon detector array.,"In 2011, experiment e09024 was performed in National Superconducting Cyclotron Laboratory(NSCl) located at Michigan State University from Michigan state. The goal was to investigate delayed particle emission for isotopes near proton drip line. The main secondary beam was ²²Si while other exotic beam such as ²⁰Mg,²²Al,²³Si was also produced. The delayed particle emission from ²⁰Mg is of particular interest in this thesis and has been studied in details. In 2018, Dr.Gwen Grinyer's group at University of Regina started constructing a Silicon Detector Array named Regina Cube for Multiple Particle(RCMP) used for studying delayed particles at proton drop line with high resolution and high solid angle coverage. The detector is designed to be placed inside GRIFFIN chamber located at TRIUMF cyclotron facility. GRIFFIN chamber designed by GRIFFIN collaboration consists of 16 High Purity Germanium detectors with 8 fast timing LaBr3 used for studying gamma rays. It is a high effociency detector chamber with BGO shielding for Compton suppression. The combination of the two could provide more detailed study of nuclear structure for isotopes near proton drip line. The detector has been deployed in 2024 and a new experiment on ²⁰Mg S2232 is being scheduled during 2024 summer. In this thesis, I will be presenting analysis of ²⁰Mg from experiment e09024 with development and testing of RCMP detector array and experiment S2232. Key words: Proton Drip line,Beta-delayed, NSCL, TRIUMF, RCMP, GRIFFIN.","Liu, Jizhong.",2024,MSc,Regina,Jizhong Liu,University of Regina
Classifying men who perpetrate intimate partner violence: A 50-year systematic review and a new typology applicable to case management.,"This dissertation includes two studies: a systematic review of typologies of perpetrators of intimate partner violence (IPV) and a new typology of men who perpetrated IPV created using assessment data collected with the Service Planning Instrument (SPIn™). The systematic review included 177 typologies contained in 201 articles published between 1974 and 2024. Typologies in the review comprised: 1) family-only and generally violent; 2) family-only, generally violent, and borderline/dysphoric; 3) family-only, generally violent, low-level antisocial, and borderline/dysphoric; 4) severity and frequency of violence; 5) reactive and instrumental, 6) situational couple violence and coercive control; 7) personality types; 8) other typologies (e.g., treatment responsivity, physiological reactivity); and 9) perpetrators of intimate partner femicide. These typologies are summarized and compared, and findings from studies that examined recidivism and treatment outcomes by typology are reported. The new typology was created using data from 7,781 men in Alberta, Canada, who had been identified as having perpetrated IPV using the SPIn. Men in the sample were classified using seven indicator variables linked to general and IPV recidivism in empirical research and available in the SPIn: criminal history, failure while on conditions, violations of protection or no-contact orders, procriminal attitudes, antisocial peers, social/cognitive skills, and aggression/violence. The resulting typology included three classes: High Criminal History-High Antisocial Attitudes (18.5%; n = 1,439), High Criminal History-Low Antisocial Attitudes (51.6%; n = 4,015), and Low Criminal History-Low Antisocial Attitudes (29.9%; n = 2,327). Both classes with high criminal history report a greater prevalence of static variables relating to criminal history; the most notable difference between these two types is that the High Criminal History-High Antisocial Attitudes class scores high on variables relating to antisocial attitudes, whereas the High Criminal History-Low Antisocial Attitudes class does not. Individuals in the Low Criminal History-Low Antisocial Attitudes class have a low probability of all seven indicator variables. The three classes were compared on external variables linked to general and IPV recidivism (including history of violence, substance misuse, childhood trauma, mental health conditions, homicidal ideation, and employment problems). The High Criminal History-High Antisocial Attitudes class displayed the highest prevalence of all external variables (i.e., additional risk factors), the Low Criminal History-Low Antisocial Attitudes class had the lowest rates, and the High Criminal History-Low Antisocial Attitudes class scored intermediate to the other two classes. The three classes were also compared on four dichotomous measures of reoffending (any recidivism, technical violations, new non-violent offence, and new violent offence) at both one and three years. The High Criminal History-High Antisocial Attitudes class displayed the highest rate of recidivism on all four measures. The High Criminal History-Low Antisocial Attitudes class had a slightly lower prevalence than the High Criminal History-High Antisocial Attitudes class on all recidivism measures. The Low Criminal History-Low Antisocial Attitudes class had low rates of all forms of recidivism. Given the distinct differences between the three classes in terms of static and dynamic risk factors (i.e., criminogenic needs) and risk for reoffending, this typology is expected to have clinical utility for case management with men who have perpetrated IPV. Recommendations for risk management (e.g., supervision) and risk reduction (e.g., treatment/intervention programs) are discussed. Keywords: intimate partner violence, domestic violence, typology, perpetrators, systematic review, latent class analysis.","Giesbrecht, Crystal Joy.",2024,PhD,Regina,Crystal Giesbrecht,University of Regina
Climate change denial and associated characteristics in Saskatchewan agricultural producers.,"Climate change (CC) poses a threat to agricultural sustainability, which is important in Saskatchewan as agriculture is a major occupation and driver of the economy. Agriculture involves both creation and mitigation of emissions related to CC. To implement adaptation and mitigation practices producers should accept CC as fact; however, CC denial is prevalent in Saskatchewan. This study provided a snapshot of views toward CC and examined characteristic influences on CC denial in 330 Saskatchewan producers. To assess whether personal characteristics influence changes in CC understanding and perception following a CC information video, a subset of participants were randomized to an experimental (N = 79) or control (N = 84) condition. Participants watched a video produced by the Saskatchewan Water Security Agency. Measures of CC understanding and perception, as well as personal characteristics were assessed before and after the video for the experimental group, with the control group viewing the video once both questionnaires were complete. Results indicated more CC denial in Saskatchewan producers than in other Canadian samples. The following characteristics were associated with less acceptance and concern of CC: lower levels of formal education, identifying as male, conservative political affiliation and ideation, low trust in science, and low mental flexibility. Viewing the video increased CC perception in the experimental group and protected against a history effect that decreased climate knowledge in the control group. Change in climate knowledge is predicted by baseline knowledge, with lower baseline climate knowledge scores associated with more improvement. Change in CC perception could be predicted by trust in climate science and baseline CC perception. A higher baseline score for trust in science predicted greater change in CC perception following the video, indicating the importance of a foundational trust in climate science in changing perspective following the provision of CC information. It is recommended that further research be conducted to examine different teaching methods (e.g., lecture, workshop, webinar) and dissemination methods (e.g., online versus in-person sessions) to see how various techniques may influence learning, as well as the way the information is used by particular groups.","Stewart, Sheena Ann.",2022,MSc,Regina,Sheena Stewart,University of Regina
Clinical-Gan: Trajectory Forecasting of Clinical Events using Transformer and Generative Adversarial Networks.,"Predicting the trajectory of a disease at an early stage can aid physicians in offering effective treatment and prompt care to patients. Previous work has used Electronic Health Record (EHR) data and leveraged sequence models to forecast patients' diagnosis, procedure, and medication codes. However, current deep learning models have difficulty learning from such EHR data-which comprises multivariate time series and multimodal data distribution. We propose a novel method called Clinical-GAN to tackle this learning issue, which combines Transformer and Generative Adversarial Networks (GAN) to forecast diagnosis, procedure, and prescription drugs while maintaining the interpretability of the model's outcome. A Transformer mechanism is used as a Generator to learn from existing patients' medical history and is trained adversarially against a Transformer-based Discriminator. In addition, we used multi-head attention of the Generator network to explain the model's outcome. We evaluated our method using a publicly available dataset, Medical Information Mart for Intensive Care IV (MIMIC-IV) v1.0, with more than 500,000 visits completed by around 196,000 adult patients over an 11 year period from 2008-2019. Based on the patient's medical codes of each visit, Clinical-GAN achieved 57.04% in Mean Average Recall (MAR)@250 and 76.57% in Mean Average Precision (MAP)@250, significantly outperforming baseline methods in forecasting the patient's diagnosis codes for subsequent visits. In addition, our model also outperformed the existing work in sequential disease prediction by achieving a 65.27% in MAR@60. We used cosine similarity to calculate the top 20 associated codes of diagnosis based on the learned representation of embedded medical codes. Then we projected them onto a two-dimensional map using t-Distributed Stochastic Neighbour Embedding (t-SNE). We observed that our proposed method effectively learns the correlations between medical codes from the two-dimensional map. Overall, Clinical-GAN has achieved higher accuracy in forecasting the patient trajectory and sequential disease prediction than baseline and existing work, as demonstrated through various experiments.","Shankar, Vignesh.",2022,MSc,Regina,Vignesh Shankar,University of Regina
