institution,institution_fullname,title,abstract,author,firstname_lastname,year,program,Category,prob_EEE
WLU,Wilfrid Laurier University,'The Most Important Thing in IPV Right Now': The Intersection of Intimate Partner Violence and Brain Injury.,"The intersection of intimate partner violence (IPV) and brain injury (BI) has been almost entirely overlooked in research, practice, and policy, despite the known risks associated with the two conditions. Individually, IPV and BI are associated with elevated rates of unemployment, poverty, and homelessness, as well as increased mental health challenges. These social determinants of health, employment status, and income impact women's wellbeing through access to safe accommodations, food security, and (dis)ability supports. These determinants are also related to an increased likelihood of experiencing addictions, mental health challenges, and physical danger, potentially leaving women vulnerable to ongoing violence. This qualitative study sought to explore the complex interconnections between work environments and the needs of women survivors of IPV-related BI (IPV-BI). Semi-structured interviews were conducted with twenty-four stakeholder participants from four groups: women survivors, executive director/program managers, direct service providers, and employer/union representatives. The overarching goal of this project was to provide in-depth information about the intersection between IPV and BI, and the implications for women's employment. The research provided an opportunity for women survivors to share their lived experiences of employment within the context of their exposure to IPV and BI, amplifying their voices through a participatory model of qualitative research. The study was informed by Critical Disability Theory, Intersectionality, and the author's own theoretical advancement of the Considered Inclusive Framework. The work concludes with a discussion of the findings, including the extraordinary complexity within the intersection of IPV-BI itself, the impact of a socially derived culture of shame and stigma that shapes the experience of IPV-BI, and the recognition/consideration of the complex layers of power that survivors are exposed to, both structural and individual. A significant and serious gap in awareness, knowledge, and understanding of IPV-BI, combined with an underfunded support system, is also discussed. Recommendations for practice and future research are presented, and the unique role of social work is considered in the context of moving toward an integrated response.","Haag, Halina (Lin)",Halina Haag,2024,PhD,other,0.19929089377009945
WLU,Wilfrid Laurier University,"A Departmental Dilemma: The Genesis of Canadian Military Export Policy, 1945-1960.","Recent sales of Canadian military equipment to Saudi Arabia have highlighted a contradiction between Canadian policy on paper and in practice. This dissertation seeks to explain these contradictions by exploring the evolution of Canadian conventional military export policy in the key years between 1946 and 1960. It loosely divides this 15-year span into three periods, which correspond to the genesis of Canadian military export policy (1946-1949), its expansion and formalization (1950-1955), and its first existential challenge (1956-1960). With a particular focus on the Department of External Affairs, this work explores the political considerations and bureaucratic debates which shaped government decision-making during these periods.After the Second World War, Canadian policymakers struggled to reconcile the commercial and strategic benefits of selling arms with the political risks in both the domestic and international environments. Through a series of reactive and somewhat contradictory precedents, they engineered a bureaucratic system of export controls to evaluate potential military exports, as well as a series of rudimentary restrictions to guide their implementation. By 1950, the Canadian government had accepted that military exports were economically and strategically necessary, and become an opportunistic exporter of military equipment to the non-communist world. This consensus would be challenged in 1956 due to geopolitical instability and domestic scandal but would prove too entrenched for significant modification.The military export policies adopted during these years were flexible, pragmatic, and reactive; they incentivized risk-aversion and commercial competitiveness, but not internal consistency. Policymakers emphasized a rotating series of idealistic restrictions in official reviews and public statements, yet the defining internal principle was discretionary flexibility. In other words, preserving the ability of Canadian officials to evaluate exports on a case-by-case basis, not consistently enforcing export restrictions based on specific criteria. Flexibility was important because of the key external objective: mirroring American military export policy specifically and other allied policies generally. This alignment maintained western solidarity and multilateral agreements regarding military exports, used collective action to diffuse the reputational risks of arms dealing, maintained privileged Canadian access to the American military industrial complex, and allowed Canadian military producers to compete equally in the global market. Policymakers often found themselves trapped between the idealistic multilateralism which ostensibly guided Canadian foreign policy, and the pragmatic considerations incentivizing Canadian arms sales. Obscuring this contradiction required the government to resort to a sort of categorical ambiguity in which key binaries such as military/civilian, offensive/defensive, enemy/ally, and peace/conflict were redefined as convenient. The resulting policy/praxis gap can be construed as hypocrisy and remains a foundational component of Canadian military export policy today.","Esau, Paul.",Paul Esau,2023,PhD,other,0.2887068193658001
WLU,Wilfrid Laurier University,A Grounded Theory Exploration of The Changing Dynamic in Mission Among Pentecostals in Ontario: The Emergence of Humanitarianism.,"AbstractThis dissertation explores the changing nature of mission among Pentecostal churches in Ontario. The findings of this grounded theory qualitative research project suggest that mission in those Pentecostal churches in Ontario under review have switched the priority of the juxtaposed foci of salvific and humanitarian such that the latter is now their primary means for expressing mission. Christianity is a mission-oriented faith tradition. Throughout history, it is the case that the church's understanding and expression of mission has adjusted and adapted according to the context and culture it has found itself in. In the ever changing religious and cultural context in the Global West, which has become primarily post-Christendom, the nature of mission is changing as well. It follows then that a recognition of the change in the current Canadian culture and context requires new and fresh approaches to mission. As discussed in this study, historically the mission of Pentecostal churches has focused on salvific and humanitarian understandings. However, because of a strong belief and commitment to individual conversion, that is, personal salvation by faith, traditionally Pentecostals have tended toward placing greater emphasis on the salvific aspect of mission rather than on the humanitarian aspect. This study illumines a reversal of that tendency: humanitarianism now receives the predominant focus. In an effort to better understand how Canadian Pentecostal Pastors in the province of Ontario see their church enacting its mission, the following research question was posed, 'How do Christian Pentecostal Pastors leading large churches perceive their congregations' Expression of Mission in a Post-Christendom Canadian Context in Ontario?' The methodology chosen to explore this question is grounded theory. The data collected in this study found three key themes: intentionality and deliberateness in the sharing of the goals of the church; creativity and innovation in their humanitarian outreach, and the importance of place and context, with attention on the local, national, and global reach of their humanitarian activities. The data from this study indicates that the prior priority of salvific interpretations of the Pentecostal mission in Ontario churches has diminished in favor of the need to offer practical and useful outreach to those in need. The sixteen Pentecostal participants and their congregations engaged in this study reflect this change in missional understanding and expression. As a way of moving forward missionally, Pentecostals in Ontario may have to rethink their theology of mission to reflect one that is primarily humanitarian in focus and application.","Manuel, Todd.",Todd Manuel,2022,PhD,other,0.42863548194700163
WLU,Wilfrid Laurier University,A Machine Learning Approach to Classify Open Water and Ice Cover on Slave River Delta.,"Seasonal temperature trend and ice phenology in Great Slave lake (GSL), are strongly influenced by warmer inflow from Slave river. The Slave river flows to GSL through Slave river delta (SRD), bringing a rise in temperature that triggers the ice break-up process of the lake. Slave river discharge is subject to multiple stressors including climate warming and upstream water activities, which in turn, directly affects the GSL break-up process. Consequently, monitoring the break-up process at SRD, where the river connects to the lake, serves as an indicator to better understand the cascading effects on GSL ice break-up. This research aims to develop random forest (RF) models to monitor the SRD ice break-up processes, using a combination of satellite images with optical sensors at high spatial resolution, including Landsat-5, Landsat-8, Sentinel-2a, and Sentinel-2b. The RF models were trained using manually selected training pixels to classify ice, open water, and cloud within the SRD.The break-up start period is defined by minimum and maximum thresholds of 60% and 90% on ice fraction, which are a trade-off between maximizing the available images and not including images that are taken after the break-up start. The results show high variability in the rate of break-up within delta using images in recent years with better temporal resolution. Furthermore, a statistically significant trend is observed from 1984 to 2023 using the Mann-Kendall test, with a p-value of 0.05. This study is of great significance to northern and high latitude communities who rely on lake ice for activities such as transportation, and sustenance. Moreover, the break-up of the delta plays a pivotal role in supplying nutrients and sediments, and also in the occurrence of spring flooding. Therefore, the outcomes of this study can be leveraged to shape effective water resource management policies based on the regional characteristics of climate and hydrological patterns.","Moalemi, Ida.",Ida Moalemi,2023,MSc,EEE,0.5728398121059637
WLU,Wilfrid Laurier University,AGENTS AT WORK: MODELING HOW SPACE CAN INFLUENCE PEOPLE IN THE WORKPLACE.,"People interact with space in ways that are important to consider when designing an office. Not considering this relationship has led to the dissatisfaction of employees post-occupancy. In this thesis, I present an agent-based model that incorporates several characteristics of agents, such as work ethic and sociability, and explores their behaviours and social interactions in the workplace. The model is first tested on a commercial workspace, varying agent parameters to see how they change the behaviour of the model. I find that agents with extreme personalities are happiest, and show a bimodality in the distribution of time spent in various states. Next, a series of random floor plans were created, using the Watts-Strogatz network method, while varying the integration of the space. Simulations were run on each network to explore the effects of the space itself on behaviour. I find that higher integration increases time spent in each state except walking, and also increases happiness and most social network measures. This model will provide a framework for future work and may help better design offices based on workers' needs and comfort.","Poposki, Jovan.",Jovan Poposki,2022,MSc,other,0.26325567677878925
WLU,Wilfrid Laurier University,"ALPINE SHRUB TUNDRA WATER STORAGE AND RUNOFF DYNAMICS IN THE MACKENZIE MOUNTAINS, SAHTÚ TERRITORY, NT.","Alpine regions receive large volumes of precipitation and are important to local and regional water balances, particularly during baseflow periods of winter cold and summer drought when the larger basin area is frozen and/or water limited. Alpine headwaters in western Canada are expected to warm and receive more precipitation during the coming decades, with implications for groundwater recharge and streamflow generation within these systems and the regional river networks to which they contribute. Throughout the North, thawing peat plateaus and other ice-rich permafrost features are resulting in an increased extent of thermokarst and wetland land cover. This transition places infrastructure and water resources at risk as the structural integrity and reliable flow paths previously maintained by the frozen soils become compromised. Alpine systems are particularly susceptible to hydrological change due to the amplification of climate warming with both latitude and elevation. The inherent spatial heterogeneity of these same systems makes attempts to quantify the impacts of climate change on current and future basin water balance even more challenging, yet few field studies of alpine hydrology have been conducted in northern Canada. Specifically, no hydrological field studies have previously occurred within alpine shrub tundra terrain overlapping the Taiga Cordilleran Ecozone and/or the Mackenzie River basin.The objective of this dissertation is to characterize the spatial and temporal variability in hydrological processes controlling the water balance of an alpine shrub tundra basin. Chapter Two presents five cover classes that are hydrologically distinct based on physiographic, surface, and subsurface characteristics. Glaciofluvial uplands are isolated from the channel network, routing all inputs to aquifer recharge. Peat plateaus have ice-rich permafrost at depth, resulting in limited storage and efficient subsurface runoff to neighbouring fens. Fen and riparian swamp iii cover classes both act as primary contributors to the channel network, although some fen areas may be isolated thermokarst features. These thermokarst features lose water via taliks recharging aquifers and/or evaporative loss from surface ponds. In the context of climate change, permafrost thaw will result in the replacement of peat plateaus with fens, such that both storage capacity and groundwater connections will expand. A conceptual model presents the basin storage compartments and expected flow paths linking the cover classes to each other and the larger area beyond the topographical extent of the study basin.Chapter Three utilizes the land cover classification established in Chapter Two to investigate temporal differences in 2019 open water season basin water balance. During the freshet, a large volume of snowmelt was received, and storage capacity was limited by shallow frost tables and bedfast ice. As a result, runoff generation was highly efficient and streamflow volumes large. The exception to this is the glaciofluvial upland, which channeled all snowmelt to aquifer recharge. As the freshet transitioned to summer, small magnitude rain events began to occur, and evapotranspiration became the primary means of basin water loss. Furthermore, groundwater exchange became more important to the basin water balance, with groundwater discharge from springs in the headwaters sustaining streamflow and channel bed infiltration becoming more prominent as bedfast ice and channel banks thawed. As the summer progressed, cumulative storage, streamflow, and evapotranspiration rates declined as groundwater discharge became the primary input and groundwater recharge the primary output. As climate change continues, a greater proportion of precipitation will be received as rain and the open water season will extend, resulting in a greater proportion of total annual basin outputs occurring via aquifer recharge, although shrubification and permafrost thaw may result in greater influence of evapotranspiration.Chapter Four assesses the basin runoff response following discrete precipitation events and utilizes stable isotope analysis to establish seasonally distinct source water contributions, evaporative influence, and subsurface flow paths during the 2019 open water season. The large volume of snowmelt received during the freshet caused peak streamflow rates, but only 8 % of total freshet discharge was isotopically designated as event water at the main basin outlet. In comparison, the maximum daily and total freshet event water fraction was reduced at the headwater subbasin outlet, where spring sources of groundwater discharge were more influential on streamflow. During the summer months, headwater subbasin streamflow was volumetrically and isotopically unresponsive to rain events and groundwater discharge continued to dominate. At the main outlet, early summer runoff response volumes and event water contributions following precipitation events were greatly reduced, in part due to the smaller magnitude of rain input volumes compared to snowmelt, but also due to the increase in fen storage capacity. By the late summer, the frost table also reached the mineral substrates at depth in the riparian swamp, extending the flow path for rain received by this cover class. As a result, late summer streamflow following rain was composed of even less event water and the hydrograph response was characterized by a lower peak and extended recession limb compared to the early summer event.This dissertation greatly enhances our understanding of the hydrological role alpine tundra plays in sustaining regional river systems via both surface streamflow and aquifer recharge. These findings provide the model structure and parameter values necessary for future hydrological modelling efforts that seek to better represent the contribution of these headwater subbasins to larger regional river systems under current and future climatic conditions.","Kershaw, Geoffrey.",Geoffrey Kershaw,2022,PhD,EEE,0.7615184375156187
WLU,Wilfrid Laurier University,ARCTIC STREAM CHARACTERISTICS AND DIET ANALYSIS CHOICE IMPACT CONDITION AND DIET ESTIMATES OF NINESPINE STICKLEBACK (Pungitius pungitius).,"Ninespine stickleback (Pungitius pungitius) are ubiquitous in circumpolar freshwaters, but their ecological role is not well understood. Little research has been conducted on the influence of environmental variables on ninespine stickleback in stream environments, and while they are understood to be generalist feeders, their diet in stream environments is equally understudied. Determining diet is difficult due to biases inherent in all standard diet analysis methods. Morphological gut-content analysis (M-GCA), DNA metabarcoding of gut contents (D-GCA), and stable isotope analysis (SIA) are currently three of the most frequently conducted diet analyses; and while combinations of these methods are commonly used to counteract their biases, limited analyses have compared all three. The aims of this thesis were to address these knowledge gaps by determining the impacts of tundra stream characteristics on ninespine stickleback condition and abundance, characterizing their diet in these streams, and assessing the relative benefits and disadvantages of the above-mentioned diet analysis techniques for determining the diet of small stream fishes. The impacts of environmental factors (e.g. temperature, nutrient concentrations, prey and predator/competitor abundance) on condition and abundance were present but limited, likely due to both the tolerant nature of ninespine stickleback and carry-over effects from over-wintering environments. The generalist nature of ninespine stickleback was confirmed by M-GCA and D-GCA results which described a high occurrence of abundant stream invertebrates in the gut, namely Orthocladiinae and Chironominae. In contrast, SIA estimated Arachnida and Tanypodinae to be the most significant contributors to diet over a longer period, suggesting a diet shift over the summer due to either a change in stream invertebrate community composition, or prior feeding in a different environment. Biases of each diet analysis technique were consistent with prior reports, with M-GCA being biased towards hard-bodied organisms, and D-GCA being biased towards soft-bodied organisms. The findings of this thesis contribute to a growing understanding of ninespine stickleback ecology in tundra streams and indicate the importance of studying connections with lentic over-wintering environments in future research. Finally, this research complements other research being conducted in the Greiner Lake watershed on tundra stream food-web dynamics and stream metabolism.","Kuhrt, Adam.",Adam Kuhrt,2022,MSc,EEE,0.7976514126693501
WLU,Wilfrid Laurier University,Adaptive capacity and mobility in the Bahamas: Examining the social costs of displacement in response to Hurricane Dorian.,"In 2021, over 30 million people were displaced by disasters, most of which were weather related and nearly half of which were the result of storms. While research on disaster displacement has provided broad observations of post-hurricane human mobility and the socioeconomic and demographic characteristics that influence displacement, few studies examine the factors that influence household mobility decisions after a disaster. My dissertation uses a primarily qualitative research approach to empirically investigate the relationship between mobility and the capacity of displaced households to cope and adapt to the impacts of hurricanes through a detailed examination of Hurricane Dorian displacement in the Bahamas. My research findings are based upon 40 semistructured interviews with displaced individuals and 14 semi-structured interviews with disaster response organizations, pastors and local government, rapid ethnography and in-depth observations, and secondary data.Key findings highlight that household mobility decision-making is dynamic throughout displacement and reflects household's available assets and priorities. My research shows that households continue to make rational and informed decisions throughout displacement, weighing the benefits and challenges of their decisions as they attempt to recover in various locations to determine what is best for their households. It also demonstrates how a secondary event, such as the Covid-19 pandemic, can influence the ability of displaced households in islands to respond to future hurricanes. My research reveals that, when faced with multiple hazards, households reassess their assets and resources, and capacity to rebuild these assets and resources in order to prepare for future events, which in turn influences their decisions on where to live.The research informed my development of a conceptual model to illustrate the relationship between household adaptive capacity and disaster mobility, highlighting opportunities to advance and enhance climate change adaptation and disaster risk management in small islands. Results of the research demonstrate that island-specific hurricane planning created in coordination with residents, local leaders and island-based NPOs can provide comprehensive assessments of the existing skills, knowledge and physical resources on islands that can be used in disaster preparedness and response. My dissertation contributes to scholarship examining adaptive capacity, displacement and mobility, emphasizing the importance of grounding research in the experiences of displaced populations to provide a nuanced and rich understanding of household post-disaster decision-making.","Coupland, Kearney.",Kearney Coupland,2022,PhD,other,0.2381960844126555
WLU,Wilfrid Laurier University,Adrift in Uncharted Waters: A Case Study of a Muslim Family Involved with Child Protection Services in Ontario.,"This dissertation sought to understand how Muslims experience mandated child protection services in Ontario within the Canadian (and specifically, Ontarian) socio-political context. Ongoing experiences of racism, xenophobia, and Islamophobia within systems that intersect with child welfare, including schools and the criminal justice system, have compounding effects on Muslim families who are singled out politically and socially. Drawing from trends in child welfare literature, policy initiatives, and practices that consider the system's impacts upon racialized peoples, this research contributes to the discourse by highlighting religious diversity as an under-investigated source of discrimination. Set against systemic challenges inherent in the child protection system, the study explores religious social and self-identities as analytically distinct sites of marginalization. The project draws on critical theories - critical race theory and risk theory - to examine intersections of Islamophobia with other aspects of marginalization that foster the construction of Muslims as 'risky.' Southern theory highlights the credibility of alternative thinking, explicitly Islamic thinking, on child safety and protection. Anti-oppressive practice, the current and progressive approach to child welfare with diverse clients, is used as a lens to assess current child welfare services to Muslims in Ontario. Employing a qualitative, single case study design consistent with the conceptual framework of critical realism, I gathered data from interviews with a Muslim family whose children had been apprehended and placed in the foster care system, as well as individual interviews with three workers and four foster parents who have worked with Muslim families. To understand the child welfare system's oppression of Muslim clients, this research develops the complex and intertwined relationship between religious status and other aspects of social identity. Within the intersections of being Muslim, Arab, and recent refugee; the family that participated in this study faced multiple axes of marginalization. While each marginalizing set of experiences posed specific challenges, religion is particularly significant because of its far-reaching implications about Islamic beliefs and practices. Anchored in its origin as a state-centred, hegemonic, secular system, child welfare as it currently stands in Ontario has been unable to adapt and develop ways in which Muslim families and communities can provide religiously appropriate care and safety for their children. Juxtaposing an Islamic understanding of care and protection for children to the current system in Ontario, this research points to the need for significant changes in policy and praxis that are necessary to keep Muslim children safe in their homes and communities. Major changes require commitment from the child welfare community at all levels, the academic community involved in child welfare research, and the Muslim community. These entities must collaborate to understand and respond to the unique experience and needs of Muslims interacting with the child welfare system in Ontario.","Baksh, Bibi.",Bibi Baksh,2022,PhD,other,0.23193865850716133
WLU,Wilfrid Laurier University,Agent-based Modelling and Big Data: Applications for Maritime Traffic Analysis.,"Agent based modeling (ABM) is a powerful tool for examining complex systems in many scientific applications, including maritime transport systems. Growing demands for freight transport and increased industry emphasis on reducing environmental impacts have heightened the focus on vessel and port efficiency. This research aimed to create a maritime route planning model to simulate vessel movement in all waterways. The goal of the ship routing model developed in this research was to develop a simulation tool capable of reproducing real world shipping routes useful for navigation planning, with emphasis on port scheduling and potential application for further use and exploration. A modified breadth-first search algorithm was implemented as a NetLogo ABM in this research. With increasing volumes of ship location monitoring data, new approaches are now possible for examining performance-based metrics and to improve simulations with more precise verification and analysis. A Satellite Automatic Identification System dataset with over 500,000 vessel logs travelling across the Pacific Ocean and into the Port of Metro Vancouver was used as the focal area for model development and validation in this study. Automatic identification system (AIS) is the global standard for maritime navigation and traffic management, and data derived from AIS messages can be used for calibrating simulation model scenarios. In this analysis, the results examined how changes in simulation parameters alter route choice behaviour and how effective large AIS datasets are for validating and calibrating model results. Using large AIS datasets, model results can be quantified to examine how closely they resemble real-time vessels in the same region. Heatmaps provide a data visualization tool that effectively uses large data sets and calculates how closely model results resemble AIS data from the same region. In the case of PMV, the Maritime Ship Routing Model (MSRM) was able to replicate path likeness with a high level of accuracy, generating realistic navigation paths between the many islands on the eastern side of southern Vancouver Island, B.C., a busy marine traffic region and sensitive ecological area. This research highlights the use of ABM as a powerful, user-friendly tool for developing maritime shipping models useful for port scheduling and route analysis. The results of this study emphasize the use of large data sets that are applicable, clean, and reliable as a crucial source for validating and calibrating the MSRM.","SIRIZZOTTI, Marc.",Marc SIRIZZOTTI,2022,MSc,EEE,0.5454865895561403
