searched_name,institution_name,program,id,display_name,title,publication_date,publication_year,type,doi,cited_by_count,is_oa,oa_status
Anais Remili,McGill University,PhD,https://openalex.org/W4406411863,"Persistent pollutant exposure impacts metabolomic profiles in polar bears and ringed seals from the High Arctic and Hudson Bay, Canada","Persistent pollutant exposure impacts metabolomic profiles in polar bears and ringed seals from the High Arctic and Hudson Bay, Canada",2025-01-15,2025,article,https://doi.org/10.1016/j.envres.2025.120862,9,FALSE,closed
Anais Remili,McGill University,PhD,https://openalex.org/W4403165729,Legacy persistent organic pollutants among multiple cetacean species in the Northwest Atlantic,Legacy persistent organic pollutants among multiple cetacean species in the Northwest Atlantic,2024-10-06,2024,article,https://doi.org/10.1016/j.scitotenv.2024.176746,3,TRUE,hybrid
Anais Remili,McGill University,PhD,https://openalex.org/W3137757793,Individual Prey Specialization Drives PCBs in Icelandic Killer Whales,Individual Prey Specialization Drives PCBs in Icelandic Killer Whales,2021-03-24,2021,article,https://doi.org/10.1021/acs.est.0c08563,33,FALSE,closed
Anais Remili,McGill University,PhD,https://openalex.org/W4365484966,Quantitative fatty acid signature analysis reveals a high level of dietary specialization in killer whales across the North Atlantic,Quantitative fatty acid signature analysis reveals a high level of dietary specialization in killer whales across the North Atlantic,2023-04-13,2023,article,https://doi.org/10.1111/1365-2656.13920,33,TRUE,hybrid
Anais Remili,McGill University,PhD,https://openalex.org/W3082282767,Humpback whales (Megaptera novaeangliae) breeding off Mozambique and Ecuador show geographic variation of persistent organic pollutants and isotopic niches,Humpback whales (Megaptera novaeangliae) breeding off Mozambique and Ecuador show geographic variation of persistent organic pollutants and isotopic niches,2020-09-03,2020,article,https://doi.org/10.1016/j.envpol.2020.115575,17,TRUE,bronze
Anais Remili,McGill University,PhD,https://openalex.org/W4387530902,Varying Diet Composition Causes Striking Differences in Legacy and Emerging Contaminant Concentrations in Killer Whales across the North Atlantic,Varying Diet Composition Causes Striking Differences in Legacy and Emerging Contaminant Concentrations in Killer Whales across the North Atlantic,2023-10-11,2023,article,https://doi.org/10.1021/acs.est.3c05516,16,FALSE,closed
Anais Remili,McGill University,PhD,https://openalex.org/W4280505848,Validation of quantitative fatty acid signature analysis for estimating the diet composition of free-ranging killer whales,Validation of quantitative fatty acid signature analysis for estimating the diet composition of free-ranging killer whales,2022-05-13,2022,article,https://doi.org/10.1038/s41598-022-11660-4,12,TRUE,gold
Anais Remili,McGill University,PhD,https://openalex.org/W4413521406,Analyzing the fat of killer whales reveals what they eat,Analyzing the fat of killer whales reveals what they eat,2023-04-14,2023,article,https://doi.org/10.64628/aam.rdyy35p99,0,FALSE,closed
Anais Remili,McGill University,PhD,https://openalex.org/W4413526074,Régime alimentaire toxique : la santé des orques du Canada est fortement menacée par la pollution,Régime alimentaire toxique : la santé des orques du Canada est fortement menacée par la pollution,2023-11-28,2023,article,https://doi.org/10.64628/aap.gk5a57kvj,0,FALSE,closed
Anais Remili,McGill University,PhD,https://openalex.org/W4414744947,Climate variations and a local PCB hotspot have altered metabolomic profiles in ringed seals,Climate variations and a local PCB hotspot have altered metabolomic profiles in ringed seals,2025-10-02,2025,article,https://doi.org/10.1016/j.envres.2025.123006,0,FALSE,closed
