searched_name,matched_author_id,matched_author_name,matched_author_orcid,id,display_name,title,publication_date,publication_year,type,doi,cited_by_count,is_oa,oa_status,Institution_ID,program,institution_name
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W3138291332,Effects of sea ice fragmentation on polar bear migratory movement in Hudson Bay,Effects of sea ice fragmentation on polar bear migratory movement in Hudson Bay,2021-03-23,2021,article,https://doi.org/10.3354/meps13684,16,FALSE,closed,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4220682488,Modeling population trajectory and probability of decline in northern Hudson Bay narwhals (<i>Monodon monoceros</i>),Modeling population trajectory and probability of decline in northern Hudson Bay narwhals (<i>Monodon monoceros</i>),2022-03-21,2022,article,https://doi.org/10.1111/mms.12925,6,TRUE,hybrid,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4378189281,Estimating abundance of Eastern Canada-West Greenland bowhead whales using genetic mark-recapture analyses,Estimating abundance of Eastern Canada-West Greenland bowhead whales using genetic mark-recapture analyses,2023-05-25,2023,article,https://doi.org/10.1016/j.gecco.2023.e02524,6,TRUE,gold,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4403965912,SEROPREVALENCE OF ERYSIPELOTHRIX RHUSIOPATHIAE IN BEAUFORT SEA POLAR BEARS (URSUS MARITIMUS) IS LINKED TO RINGED SEAL (PUSA HISPIDA) DEMOGRAPHICS,SEROPREVALENCE OF ERYSIPELOTHRIX RHUSIOPATHIAE IN BEAUFORT SEA POLAR BEARS (URSUS MARITIMUS) IS LINKED TO RINGED SEAL (PUSA HISPIDA) DEMOGRAPHICS,2025-01-31,2025,article,https://doi.org/10.7589/jwd-d-24-00078,3,FALSE,closed,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W3016250847,Comparing sea ice habitat fragmentation metrics using integrated step selection analysis,Comparing sea ice habitat fragmentation metrics using integrated step selection analysis,2020-04-12,2020,article,https://doi.org/10.1002/ece3.6233,7,TRUE,gold,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4225959154,Incorporating environmental covariates into a Bayesian stock production model for the endangered Cumberland Sound beluga population,Incorporating environmental covariates into a Bayesian stock production model for the endangered Cumberland Sound beluga population,2022-03-14,2022,article,https://doi.org/10.3354/esr01186,2,TRUE,gold,Manitoba,PhD,University of Manitoba
Brooke Biddlecombe,https://openalex.org/A5030652486,Brooke A. Biddlecombe,https://orcid.org/0000-0002-3273-0644,https://openalex.org/W4411408176,Combining multiple data sources to model population dynamics of Eastern Canada-West Greenland bowhead whales,Combining multiple data sources to model population dynamics of Eastern Canada-West Greenland bowhead whales,2025-06-18,2025,article,https://doi.org/10.1016/j.jenvman.2025.126183,1,TRUE,hybrid,Manitoba,PhD,University of Manitoba
Andrea Brown,https://openalex.org/A5065925940,Andrea Brown,https://orcid.org/0000-0002-2038-7535,https://openalex.org/W3136340045,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,2021-03-12,2021,article,https://doi.org/10.1111/ibi.12950,7,FALSE,closed,McGill,MSc,McGill University
Caroline Dallstream,https://openalex.org/A5034917000,Caroline Dallstream,https://orcid.org/0000-0002-9193-0611,https://openalex.org/W4214931459,A framework for fine‐root trait syndromes: syndrome coexistence may support phosphorus partitioning in tropical forests,A framework for fine‐root trait syndromes: syndrome coexistence may support phosphorus partitioning in tropical forests,2022-03-02,2022,article,https://doi.org/10.1111/oik.08908,28,FALSE,closed,McGill,PhD,McGill University
Caroline Dallstream,https://openalex.org/A5034917000,Caroline Dallstream,https://orcid.org/0000-0002-9193-0611,https://openalex.org/W4409974870,Strong scale‐dependent relationships between fine‐root function and soil properties uncovered with spatially coupled sampling,Strong scale‐dependent relationships between fine‐root function and soil properties uncovered with spatially coupled sampling,2025-04-29,2025,article,https://doi.org/10.1111/nph.70143,5,TRUE,hybrid,McGill,PhD,McGill University
