institution_abbrev,institution_name,openalex_id
UBC,University of British Columbia,https://openalex.org/I141945490
Waterloo,University of Waterloo,https://openalex.org/I151746483
UdeM,Universite de Montreal,https://openalex.org/I70931966
McGill,McGill University,https://openalex.org/I5023651
UQAM,Universite du Quebec a Montreal,https://openalex.org/I159129438
Regina,University of Regina,https://openalex.org/I194028371
UBCO,University of British Columbia,https://openalex.org/I141945490
UofT,University of Toronto,https://openalex.org/I185261750
Manitoba,University of Manitoba,https://openalex.org/I46247651
WLU,Wilfrid Laurier University,https://openalex.org/I75381157
Alberta,University of Alberta,https://openalex.org/I154425047
Guelph,University of Guelph,https://openalex.org/I79817857
Carleton,Carleton University,https://openalex.org/I67031392
Queens,Queen's University,https://openalex.org/I204722609
SFU,Simon Fraser University,https://openalex.org/I18014758
Toronto,University of Toronto,https://openalex.org/I185261750
Montreal,Universite de Montreal,https://openalex.org/I70931966
